epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18781,2.00478,3.21748,2.29618,0.00333,1,0.24098,0.08603,1.64234,3.57326,2.65369,0.00016,0.00016,0.00016
2,12.3507,1.57727,2.77846,1.8445,0.00333,1,0.74613,0.27519,1.51806,3.26709,2.08895,0.000336634,0.000336634,0.000336634
3,15.2481,1.40166,2.18884,1.59472,0.00333,1,0.57381,0.27305,1.58542,3.24413,2.17072,0.000509704,0.000509704,0.000509704
4,17.732,1.41746,1.91828,1.63465,0.25003,1,0.82462,0.27544,1.51857,3.29549,2.19311,0.00067921,0.00067921,0.00067921
5,20.4396,1.48915,1.77067,1.68693,0.49434,0.24529,0.28044,0.11075,2.10205,3.71961,2.87559,0.000845152,0.000845152,0.000845152
6,23.0832,1.4569,1.61833,1.59018,0.27286,1,0.50875,0.15001,1.89325,3.17671,2.73209,0.00100753,0.00100753,0.00100753
7,25.8188,1.3942,1.60228,1.57449,0.32171,0.5,0.3617,0.09679,2.39327,3.53774,3.97089,0.00116634,0.00116634,0.00116634
8,28.4615,1.38304,1.54124,1.54944,0.5178,0.41667,0.60589,0.1931,2.04605,3.17363,3.47202,0.00132159,0.00132159,0.00132159
9,31.3259,1.54528,1.57185,1.64455,0.39974,0.08333,0.40118,0.13642,1.73954,3.294,2.28575,0.00147328,0.00147328,0.00147328
10,33.9962,1.42612,1.52341,1.5784,0.40264,0.61896,0.54308,0.24385,1.83568,2.58529,2.56626,0.0016214,0.0016214,0.0016214
11,36.7139,1.45756,1.42584,1.57316,0.26507,0.33333,0.17636,0.07641,2.22324,3.30279,2.8739,0.00176596,0.00176596,0.00176596
12,39.3615,1.46777,1.30837,1.5601,0.40537,0.16667,0.1736,0.08202,2.10821,3.20688,2.65553,0.0017822,0.0017822,0.0017822
13,42.1785,1.38052,1.32566,1.54029,0.49381,0.65118,0.58429,0.33389,1.43597,2.43672,1.97814,0.0017624,0.0017624,0.0017624
14,45.0822,1.34754,1.31569,1.51041,0.73941,0.75,0.80926,0.39328,1.50509,2.26781,2.18353,0.0017426,0.0017426,0.0017426
